"group","osp_status","rf_sim","n","nstocks","nstrategic","pstrategic"
"Large whales","Non-depleted",0.58,5,5,0,0
"Large whales","Non-depleted",0.59,5,5,0,0
"Large whales","Non-depleted",0.6,5,5,0,0
"Large whales","Non-depleted",0.61,5,5,0,0
"Large whales","Non-depleted",0.62,5,5,0,0
"Large whales","Non-depleted",0.63,5,5,0,0
"Large whales","Non-depleted",0.64,5,5,0,0
"Large whales","Non-depleted",0.65,5,5,0,0
"Large whales","Non-depleted",0.66,5,5,0,0
"Large whales","Non-depleted",0.67,5,5,0,0
"Large whales","Non-depleted",0.68,5,5,0,0
"Large whales","Non-depleted",0.69,5,5,0,0
"Large whales","Non-depleted",0.7,5,5,0,0
"Large whales","Non-depleted",0.71,5,5,0,0
"Large whales","Non-depleted",0.72,5,5,0,0
"Large whales","Non-depleted",0.73,5,5,0,0
"Large whales","Non-depleted",0.74,5,5,0,0
"Large whales","Non-depleted",0.75,5,5,0,0
"Large whales","Non-depleted",0.76,5,5,0,0
"Large whales","Non-depleted",0.77,5,5,0,0
"Large whales","Non-depleted",0.78,5,5,0,0
"Large whales","Non-depleted",0.79,5,5,0,0
"Large whales","Non-depleted",0.8,5,5,0,0
"Large whales","Non-depleted",0.81,5,5,0,0
"Large whales","Non-depleted",0.82,5,5,0,0
"Large whales","Non-depleted",0.83,5,5,0,0
"Large whales","Non-depleted",0.84,5,5,0,0
"Large whales","Non-depleted",0.85,5,5,0,0
"Large whales","Non-depleted",0.86,5,5,0,0
"Large whales","Non-depleted",0.87,5,5,0,0
"Large whales","Non-depleted",0.88,5,5,0,0
"Large whales","Non-depleted",0.89,5,5,0,0
"Large whales","Non-depleted",0.9,5,5,0,0
"Large whales","Non-depleted",0.91,5,5,0,0
"Large whales","Non-depleted",0.92,5,5,0,0
"Large whales","Non-depleted",0.93,5,5,0,0
"Large whales","Non-depleted",0.94,5,5,0,0
"Large whales","Non-depleted",0.95,5,5,0,0
"Large whales","Non-depleted",0.96,5,5,0,0
"Large whales","Non-depleted",0.97,5,5,0,0
"Large whales","Non-depleted",0.98,5,5,0,0
"Large whales","Non-depleted",0.99,5,5,0,0
"Large whales","Non-depleted",1,5,5,0,0
"Large whales","Unknown",0.5,2,2,0,0
"Large whales","Unknown",0.51,2,2,0,0
"Large whales","Unknown",0.52,2,2,0,0
"Large whales","Unknown",0.53,2,2,0,0
"Large whales","Unknown",0.54,2,2,0,0
"Large whales","Unknown",0.55,2,2,0,0
"Large whales","Unknown",0.56,2,2,0,0
"Large whales","Unknown",0.57,2,2,0,0
"Large whales","Unknown",0.58,2,2,0,0
"Large whales","Unknown",0.59,2,2,0,0
