"","n_method"
"1",NA
"2","photo-id mark-recapture"
"3","ship-based line transect survey; species distribution model based on ship-based line transect survey"
"4","ship-based line transect survey"
"5","NA"
"6","species distribution model based on ship-based line transect survey"
"7","ship-based line transect survey; species distribution model based on ship-based line transect survey; photo-id mark-recapture"
"8","ship-based line transect survey; species distribution model based on ship-based line transect survey; bayesian trend analysis based on ship-based line transect survey"
"9","shore-based migration count"
"10","multiple models based on photo-id data"
"11","photo-id spatial mark-recapture"
"12","species distribution model based on ship-based line transect survey; bayesian trend analysis based on ship-based line transect survey"
"13","reconstructed total abundance from land-based pup count"
"14","pup count land survey"
"15","pup count land survey; pup count aerial survey"
"16","all-age count land survey"
"17","all-age count aerial survey"
"18","total enumeration; capture-recapture method; discovery curve analysis; all-age count corrected for seals at sea; minimum tally"
"19","pup count land survey; pup count aerial survey; all-age count (focus on females) land survey; all-age count (focus on females) aerial survey"
"20","bayesian trend analysis based on ship-based line-transect survey; ship-based line transect survey; species distribution model based on ship-based line transect survey"
"21","habitat-based density model based on aerial-based line transect survey"
"22","bayesian population model based on aerial-based line transect survey"
"23","aerial-based line transect survey; habitat-based density model based on aerial-based line transect survey"
"24","aerial-based line transect survey"
"25","bayesian trend analysis based on ship-based line transect survey; species distribution model based on ship-based line-transect survey"
"26","bayesian trend analysis based on ship-based line transect survey; passive acoustic data"
"27","annual mark-recapture based on dedicated and opportunistic survey encounter"
"28","all-age count (total enumeration of every individual within the stock)"
"29","bayesian trend analysis based on ship-based line transect survey"
"30","ship-based line transect survey, aerial-based line transect survey"
"31","ship-based capture-recapture photo id"
"32","? Check later"
"33","ship-based line transect"
"34","ship-based photo-id capture-recapture"
"35","state-space model based on photo-id"
"36","model-based estimates from pup count; pup count with correction factor"
"37","Bayesian hierarchical model from all-age haul-out count"
"38","age-structured population model estimates from pup count (from aerial survey)"
"39","model-based estimates from pup count (from aerial survey)"
"40","ice-based census count; aerial-based sight-resight survey"
"41","multi-strata analysis based on photo-id; species distribution model based on line-transect data"
"42","multi-strate analysis based on photo-id; photo-id mark-recapture"
"43","multi-strata analysis based on photo-id"
"44","mark-recapture (shear-sampling) on pup count"
"45","agTrend model of pup-count/non-pup count from aerial-based or land-based survey"
"46","model estimation based on thermal image collected from aerial-based survey on sea ice"
"47","all-age haul-out count from aerial-based survey"
"48","aerial or ship-based line-transect survey"
"49","aerial-based line-transect survey"
"50","aerial-based strip-transect survey"
"51","direct count from photo-id"
