"comm_name","area","n"
"Common bottlenose dolphin","Gulf of Mexico Continental shelf edge and slope",1
"Common bottlenose dolphin","Gulf of Mexico Oceanic",4
"Common bottlenose dolphin","Gulf of Mexico Outer continental shelf",2
"Common bottlenose dolphin","Gulf of Mexico bay, sound, and estuarine",9
"Common bottlenose dolphin","Gulf of Mexico bay, sound, and estuarine (32 stocks)",1
"Common bottlenose dolphin","Gulf of Mexico bay, sound, and estuarine (33 stocks)",1
"Common bottlenose dolphin","Gulf of Mexico bay, sound, and estuarine13",1
"Common bottlenose dolphin","Gulf of Mexico bay, sound, and estuary (29 stocks)",3
"Common bottlenose dolphin","Gulf of Mexico, Continental Shelf",4
"Common bottlenose dolphin","Gulf of Mexico, Continental shelf",6
"Common bottlenose dolphin","Gulf of Mexico, Eastern Coastal",4
"Common bottlenose dolphin","Gulf of Mexico, Northern Coastal",4
"Common bottlenose dolphin","Gulf of Mexico, Oceanic",10
"Common bottlenose dolphin","Gulf of Mexico, Western Coastal",4
"Common bottlenose dolphin","Gulf of Mexico, bay, sound and estuary (27 stocks)",4
"Common bottlenose dolphin","Gulf of Mexico, continental shelf edge and slope",1
"Common bottlenose dolphin","Gulf of Mexico, eastern coastal",10
"Common bottlenose dolphin","Gulf of Mexico, northern coastal",10
"Common bottlenose dolphin","Gulf of Mexico, outer continental shelf",1
"Common bottlenose dolphin","Gulf of Mexico, western coastal",10
"Common bottlenose dolphin","Indian River Lagoon Estuarine System",16
"Common bottlenose dolphin","Jacksonvill e Estuarine System",1
"Common bottlenose dolphin","Jacksonville Estuarine System",15
"Common bottlenose dolphin","Laguna Madre",5
"Common bottlenose dolphin","Laguna Madrej",2
"Common bottlenose dolphin","Matagorda Bay, Tres Palacios Bay, Lavaca Bay",5
"Common bottlenose dolphin","Matagorda Bay/Tres Palacios Bay/Lavac a Bayj",1
"Common bottlenose dolphin","Matagorda Bay/Tres Palacios Bay/Lavaca Bayj",1
"Common bottlenose dolphin","Mississippi River Delta",5
"Common bottlenose dolphin","Mississippi River Deltaj",2
"Common bottlenose dolphin","Mississippi Sound, Lake Borgne, Bay Boudreau",11
"Common bottlenose dolphin","Mobile Bay, Bonsecour Bay",5
"Common bottlenose dolphin","Mobile Bay/Bonse cour Bayj",1
"Common bottlenose dolphin","Mobile Bay/Bonsecour Bayj",1
"Common bottlenose dolphin","Neuces Bay, Corpus Christi Bay",5
"Common bottlenose dolphin","Neuces Bay/Corpu s Christi Bayj",1
"Common bottlenose dolphin","Neuces Bay/Corpus Christi Bayj",1
"Common bottlenose dolphin","No. Gulf of Mexico",1
"Common bottlenose dolphin","Northern Georgia, Southern South Carolina Estuarine System",5
"Common bottlenose dolphin","Northern Georgia/ Southern South Carolina Estuarine System",9
"Common bottlenose dolphin","Northern Georgia/Southern South Carolina Estuarine System",2
"Common bottlenose dolphin","Northern Gulf of Mexico",1
"Common bottlenose dolphin","Northern Gulf of Mexico Coastal",4
"Common bottlenose dolphin","Northern Gulf of Mexico Coastal (3 stocks)",1
"Common bottlenose dolphin","Northern Gulf of Mexico Continental shelf",5
"Common bottlenose dolphin","Northern Gulf of Mexico Continental shelf edge and slope",1
"Common bottlenose dolphin","Northern Gulf of Mexico Oceanic",6
"Common bottlenose dolphin","Northern Gulf of Mexico Outer continental shelf",1
"Common bottlenose dolphin","Northern Gulf of Mexico coastal",1
"Common bottlenose dolphin","Northern North Carolina Estuarine System",16
"Common bottlenose dolphin","Northern South Carolina Estuarine System",12
"Common bottlenose dolphin","Pensacola Bay, East Bay",5
"Common bottlenose dolphin","Pensacola Bay/East Bayj",2
"Common bottlenose dolphin","Perdido Bay",5
"Common bottlenose dolphin","Perdido Bayj",2
"Common bottlenose dolphin","Pine Island Sound, Charlotte Harbor, Gasparilla Sound, Lemon Bay",5
"Common bottlenose dolphin","Pine Island Sound/Cha rlotte Harbor/Gas parilla Sound/Lem on Bayj",1
"Common bottlenose dolphin","Pine Island Sound/Charlotte Harbor/Gasparilla Sound/Lemon Bayj",1
"Common bottlenose dolphin","Puerto Rico and U.S. Virgin Islands",7
"Common bottlenose dolphin","Puerto Rico and US Virgin Islands",5
"Common bottlenose dolphin","Puerto Rico and US Virgin Islands stock",2
"Common bottlenose dolphin","Sabine Lake",5
"Common bottlenose dolphin","Sabine Lakej",2
"Common bottlenose dolphin","Sarasota Bay, Little Sarasota Bay",5
"Common bottlenose dolphin","Sarasota Bay/Little Sarasota Bayj",2
"Common bottlenose dolphin","Southern Georgia Estuarine System",16
"Common bottlenose dolphin","Southern North Carolina Estuarine System",16
"Common bottlenose dolphin","St. Andrew Bay",6
"Common bottlenose dolphin","St. Andrew Bayj",1
"Common bottlenose dolphin","St. Joseph Bay",14
"Common bottlenose dolphin","St. Joseph Sound, Clearwater Harbor",5
"Common bottlenose dolphin","St. Joseph Sound/Clea rwater Harborj",1
"Common bottlenose dolphin","St. Joseph Sound/Clearwater Harborj",1
"Common bottlenose dolphin","St. Vincent Sound, Apalachicola Bay, St. George Sound",5
"Common bottlenose dolphin","St. Vincent Sound/Apa lachicola Bay/St. George Soundj",1
"Common bottlenose dolphin","St. Vincent Sound/Apalachicola Bay/St. George Soundj",1
"Common bottlenose dolphin","Tampa Bay",5
"Common bottlenose dolphin","Tampa Bayj",2
"Common bottlenose dolphin","Terrebonne Bay/Timba lier Bay",1
"Common bottlenose dolphin","Terrebonne Bay/Timbalier Bay",1
"Common bottlenose dolphin","Terrebonne, Timbalier Bay Estuarine System",5
"Common bottlenose dolphin","Vermilion Bay, West Cote Blanche Bay, Atchafalaya Bay",5
"Common bottlenose dolphin","Vermilion Bay/West Cote Blanche Bay/Atchaf alaya Bayj",1
"Common bottlenose dolphin","Vermilion Bay/West Cote Blanche Bay/Atchafalaya Bayj",1
"Common bottlenose dolphin","Waccasass a Bay/Withla coochee Bay/Crysta l Bayj",1
"Common bottlenose dolphin","Waccasassa Bay, Withla-coochee Bay, Crystal Bay",5
"Common bottlenose dolphin","Waccasassa Bay/Withlacoochee Bay/Crystal Bayj",1
"Common bottlenose dolphin","West Bay",6
"Common bottlenose dolphin","West Bayj",1
"Common bottlenose dolphin","Western Gulf of Mexico",3
"Common bottlenose dolphin","Western Gulf of Mexico coastal",1
"Common bottlenose dolphin","Western North Atlantic, Central Florida Coastal",5
"Common bottlenose dolphin","Western North Atlantic, Northern Florida Coastal",5
"Common bottlenose dolphin","Western North Atlantic, Northern Migratory Coastal",5
"Common bottlenose dolphin","Western North Atlantic, Offshore",5
"Common bottlenose dolphin","Western North Atlantic, S. Carolina, Georgia Coastal",5
"Common bottlenose dolphin","Western North Atlantic, S. Carolina/G eorgia coastal",1
"Common bottlenose dolphin","Western North Atlantic, S. Carolina/Georgia coastal",6
"Common bottlenose dolphin","Western North Atlantic, Southern Migratory Coastal",5
"Common bottlenose dolphin","Western North Atlantic, central Florida coastal",7
"Common bottlenose dolphin","Western North Atlantic, coastal",12
"Common bottlenose dolphin","Western North Atlantic, coastal, S. Carolina/Georgia",3
"Common bottlenose dolphin","Western North Atlantic, coastal, central Florida",3
"Common bottlenose dolphin","Western North Atlantic, coastal, northern Florida",3
"Common bottlenose dolphin","Western North Atlantic, coastal, northern migratory",3
"Common bottlenose dolphin","Western North Atlantic, coastal, southern migratory",3
"Common bottlenose dolphin","Western North Atlantic, northern Florida coastal",7
"Common bottlenose dolphin","Western North Atlantic, northern migratory coastal",6
"Common bottlenose dolphin","Western North Atlantic, northern migratory, coastal",1
"Common bottlenose dolphin","Western North Atlantic, offshore",22
"Common bottlenose dolphin","Western North Atlantic, southern migratory coastal",7
"Common bottlenose dolphin","Whitewater Bay",5
"Common bottlenose dolphin","Whitewater Bayj",2
"Common dolphin","Western North Atlantic",27
"Cuvier's beaked whale","Gulf of America",1
"Cuvier's beaked whale","Gulf of Mexico",11
"Cuvier's beaked whale","Gulf of Mexico Oceanic",3
"Cuvier's beaked whale","No. Gulf of Mexico",1
"Cuvier's beaked whale","Northern Gulf of Mexico",3
"Cuvier's beaked whale","Northern Gulf of Mexico Oceanic",5
"Cuvier's beaked whale","Puerto Rico and U.S. Virgin Islands",7
"Cuvier's beaked whale","Puerto Rico and US Virgin Islands",5
"Cuvier's beaked whale","Puerto Rico and US Virgin Islands stock",2
"Cuvier's beaked whale","Western North Atlantic",27
"Dwarf sperm whale","Gulf of America",1
"Dwarf sperm whale","Gulf of Mexico",11
"Dwarf sperm whale","Gulf of Mexico Oceanic",3
"Dwarf sperm whale","No. Gulf of Mexico",1
"Dwarf sperm whale","Northern Gulf of Mexico",5
"Dwarf sperm whale","Northern Gulf of Mexico Oceanic",5
"Dwarf sperm whale","Western North Atlantic",27
"False killer whale","Gulf of America",1
"False killer whale","Gulf of Mexico",11
"False killer whale","Gulf of Mexico Oceanic",3
"False killer whale","No. Gulf of Mexico",1
"False killer whale","Northern Gulf of Mexico",3
"False killer whale","Northern Gulf of Mexico Oceanic",5
"False killer whale","Western North Atlantic",11
"Fin whale","Western North Atlantic",27
"Fraser's dolphin","Gulf of America",1
"Fraser's dolphin","Gulf of Mexico",11
"Fraser's dolphin","Gulf of Mexico Oceanic",3
"Fraser's dolphin","No. Gulf of Mexico",1
"Fraser's dolphin","Northern Gulf of Mexico",3
"Fraser's dolphin","Northern Gulf of Mexico Oceanic",5
"Fraser's dolphin","Western North Atlantic",21
"Gervais' beaked whale","Gulf of America",1
"Gervais' beaked whale","Gulf of Mexico",11
"Gervais' beaked whale","Gulf of Mexico Oceanic",3
"Gervais' beaked whale","No. Gulf of Mexico",1
"Gervais' beaked whale","Northern Gulf of Mexico",3
"Gervais' beaked whale","Northern Gulf of Mexico Oceanic",5
"Gervais' beaked whale","Western North Atlantic",16
"Gray seal","Northwest North Atlantic",2
"Gray seal","Western North Atlantic",25
"Harbor porpoise","Gulf of Maine, Bay of Fundy",5
"Harbor porpoise","Gulf of Maine/ Bay of Fundy",3
"Harbor porpoise","Gulf of Maine/Bay of Fundy",19
"Harbor seal","Western North Atlantic",27
"Harp seal","Northwest North Atlantic",2
"Harp seal","Western North Atlantic",25
"Hooded seal","Northwest North Atlantic",2
"Hooded seal","Western North Atlantic",25
"Humpback whale","Gulf of Maine",23
"Humpback whale","Western North Atlantic",4
"Killer whale","Gulf of America",1
"Killer whale","Gulf of Mexico",11
"Killer whale","Gulf of Mexico Oceanic",3
"Killer whale","No. Gulf of Mexico",1
"Killer whale","Northern Gulf of Mexico",3
"Killer whale","Northern Gulf of Mexico Oceanic",5
"Killer whale","Western North Atlantic",27
"Long-finned pilot whale","Western North Atlantic",27
"Melon-headed whale","Gulf of America",1
"Melon-headed whale","Gulf of Mexico",11
"Melon-headed whale","Gulf of Mexico Oceanic",3
"Melon-headed whale","No. Gulf of Mexico",1
"Melon-headed whale","Northern Gulf of Mexico",3
"Melon-headed whale","Northern Gulf of Mexico Oceanic",5
"Melon-headed whale","Western North Atlantic",21
"Mesoplodont beaked whales","Western North Atlantic",11
"Minke whale","Canadian East Coast",6
"Minke whale","Canadian east coast",21
"North Atlantic right whale","Western",1
"North Atlantic right whale","Western Atlantic",1
"North Atlantic right whale","Western North Atlantic",25
"Northern bottlenose whale","Western North Atlantic",27
"Pantropical spotted dolphin","Gulf of America",1
"Pantropical spotted dolphin","Gulf of Mexico",11
"Pantropical spotted dolphin","Gulf of Mexico Oceanic",3
"Pantropical spotted dolphin","No. Gulf of Mexico",1
"Pantropical spotted dolphin","Northern Gulf of Mexico",3
"Pantropical spotted dolphin","Northern Gulf of Mexico Oceanic",5
"Pantropical spotted dolphin","Western North Atlantic",27
"Pygmy killer whale","Gulf of America",1
"Pygmy killer whale","Gulf of Mexico",11
"Pygmy killer whale","Gulf of Mexico Oceanic",3
"Pygmy killer whale","No. Gulf of Mexico",1
"Pygmy killer whale","Northern Gulf of Mexico",3
"Pygmy killer whale","Northern Gulf of Mexico Oceanic",5
"Pygmy killer whale","Western North Atlantic",27
"Pygmy sperm whale","Gulf of America",1
"Pygmy sperm whale","Gulf of Mexico",11
"Pygmy sperm whale","Gulf of Mexico Oceanic",3
"Pygmy sperm whale","No. Gulf of Mexico",1
"Pygmy sperm whale","Northern Gulf of Mexico",5
"Pygmy sperm whale","Northern Gulf of Mexico Oceanic",5
"Pygmy sperm whale","Western North Atlantic",27
"Rice's whale","Gulf of America",1
"Rice's whale","Gulf of Mexico",2
"Risso's dolphin","Gulf of America",1
"Risso's dolphin","Gulf of Mexico",11
"Risso's dolphin","Gulf of Mexico Oceanic",3
"Risso's dolphin","No. Gulf of Mexico",1
"Risso's dolphin","Northern Gulf of Mexico",2
"Risso's dolphin","Northern Gulf of Mexico Oceanic",6
"Risso's dolphin","Western North Atlantic",27
"Rough-toothed dolphin","Gulf of America",1
"Rough-toothed dolphin","Gulf of Mexico",11
"Rough-toothed dolphin","Gulf of Mexico (Outer continental shelf and Oceanic)",3
"Rough-toothed dolphin","No. Gulf of Mexico",1
"Rough-toothed dolphin","Northern Gulf of Mexico",3
"Rough-toothed dolphin","Northern Gulf of Mexico (Outer continental shelf and Oceanic)",5
"Rough-toothed dolphin","Western North Atlantic",17
"Sei whale","Nova Scotia",25
"Sei whale","Western North Atlantic",2
"Short-finned pilot whale","Gulf of America",1
"Short-finned pilot whale","Gulf of Mexico",11
"Short-finned pilot whale","Gulf of Mexico Oceanic",3
"Short-finned pilot whale","No. Gulf of Mexico",1
"Short-finned pilot whale","Northern Gulf of Mexico",3
"Short-finned pilot whale","Northern Gulf of Mexico Oceanic",5
"Short-finned pilot whale","Puerto Rico and U.S. Virgin Islands",7
"Short-finned pilot whale","Puerto Rico and US Virgin Islands",5
"Short-finned pilot whale","Puerto Rico and US Virgin Islands stock",2
"Short-finned pilot whale","Western North Atlantic",27
"Sowerby's beaked whale","Western North Atlantic",16
"Sperm whale","Gulf of America",1
"Sperm whale","Gulf of Mexico",11
"Sperm whale","Gulf of Mexico Oceanic",3
"Sperm whale","No. Gulf of Mexico",1
"Sperm whale","North Atlantic",25
"Sperm whale","Northern Gulf of Mexico",3
"Sperm whale","Northern Gulf of Mexico Oceanic",5
"Sperm whale","Puerto Rico and U.S. Virgin Islands",7
"Sperm whale","Puerto Rico and US Virgin Islands",5
"Sperm whale","Puerto Rico and US Virgin Islands stock",3
"Sperm whale","Western North Atlantic",2
"Spinner dolphin","Gulf of America",1
"Spinner dolphin","Gulf of Mexico",11
"Spinner dolphin","Gulf of Mexico Oceanic",3
"Spinner dolphin","No. Gulf of Mexico",1
"Spinner dolphin","Northern Gulf of Mexico",3
"Spinner dolphin","Northern Gulf of Mexico Oceanic",5
"Spinner dolphin","Puerto Rico and U.S. Virgin Islands",7
"Spinner dolphin","Puerto Rico and US Virgin Islands",5
"Spinner dolphin","Puerto Rico and US Virgin Islands stock",2
"Spinner dolphin","Western North Atlantic",27
"Striped dolphin","Gulf of America",1
"Striped dolphin","Gulf of Mexico",11
"Striped dolphin","Gulf of Mexico Oceanic",3
"Striped dolphin","No. Gulf of Mexico",1
"Striped dolphin","Northern Gulf of Mexico",3
"Striped dolphin","Northern Gulf of Mexico Oceanic",5
"Striped dolphin","Western North Atlantic",27
"True's beaked whale","Western North Atlantic",16
"White-beaked dolphin","Western North Atlantic",27
