"comm_name","area","n"
"Atlantic spotted dolphin","Gulf of America",1
"Atlantic spotted dolphin","Gulf of Mexico",11
"Atlantic spotted dolphin","Gulf of Mexico (Continental shelf and Oceanic)",3
"Atlantic spotted dolphin","No. Gulf of Mexico",1
"Atlantic spotted dolphin","Northern Gulf of Mexico",3
"Atlantic spotted dolphin","Northern Gulf of Mexico (Continental shelf and Oceanic)",1
"Atlantic spotted dolphin","Northern Gulf of Mexico (Outer continental shelf and Oceanic)",4
"Atlantic spotted dolphin","Puerto Rico and U.S. Virgin Islands",7
"Atlantic spotted dolphin","Puerto Rico and US Virgin Islands",5
"Atlantic spotted dolphin","Puerto Rico and US Virgin Islands stock",2
"Atlantic spotted dolphin","Western North Atlantic",27
"Atlantic white-sided dolphin","Western North Atlantic",27
"Blainville's beaked whale","Gulf of America",1
"Blainville's beaked whale","Gulf of Mexico",11
"Blainville's beaked whale","Gulf of Mexico Oceanic",3
"Blainville's beaked whale","No. Gulf of Mexico",1
"Blainville's beaked whale","Northern Gulf of Mexico",3
"Blainville's beaked whale","Northern Gulf of Mexico Oceanic",5
"Blainville's beaked whale","Western North Atlantic",16
"Blue whale","Western North Atlantic",27
"Bryde's whale","Gulf of Mexico",9
"Bryde's whale","Gulf of Mexico Oceanic",3
"Bryde's whale","No. Gulf of Mexico",1
"Bryde's whale","Northern Gulf of Mexico",3
"Bryde's whale","Northern Gulf of Mexico Oceanic",5
"Clymene dolphin","Gulf of America",1
"Clymene dolphin","Gulf of Mexico",11
"Clymene dolphin","Gulf of Mexico Oceanic",3
"Clymene dolphin","No. Gulf of Mexico",1
"Clymene dolphin","Northern Gulf of Mexico",3
"Clymene dolphin","Northern Gulf of Mexico Oceanic",5
"Clymene dolphin","Western North Atlantic",21
"Common bottlenose dolphin","Apalachee Bay",5
"Common bottlenose dolphin","Apalachee Bayj",2
"Common bottlenose dolphin","Barataria Bay",9
"Common bottlenose dolphin","Barataria Bay Estuarine System",5
"Common bottlenose dolphin","Biscayne Bay",16
"Common bottlenose dolphin","Calcasieu Lake",5
"Common bottlenose dolphin","Calcasieu Lakej",2
"Common bottlenose dolphin","Caloosa-hatchee River",5
"Common bottlenose dolphin","Caloosahat chee Riverj",1
"Common bottlenose dolphin","Caloosahatchee Riverj",1
"Common bottlenose dolphin","Central Georgia Estuarine System",11
"Common bottlenose dolphin","Charleston Estuarine System",16
"Common bottlenose dolphin","Chocta-whatchee Bay",5
"Common bottlenose dolphin","Choctawha tchee Bay",1
"Common bottlenose dolphin","Choctawhatchee Bay",8
"Common bottlenose dolphin","Chokolosk ee Bay/Ten Thousand Islands/Gul livan Bayj",1
"Common bottlenose dolphin","Chokoloskee Bay, Ten Thousand Islands, Gullivan Bay",5
"Common bottlenose dolphin","Chokoloskee Bay/Ten Thousand Islands/Gullivan Bayj",1
"Common bottlenose dolphin","Copano Bay, Aransas Bay, San Antonio Bay, Redfish Bay, Espiritu Santo Bay",5
"Common bottlenose dolphin","Copano Bay/Aransa s Bay/San Antonio Bay/Redfis h Bay/Espirit u Santo Bayj",1
"Common bottlenose dolphin","Copano Bay/Aransas Bay/San Antonio Bay/Redfish Bay/Espiritu Santo Bayj",1
"Common bottlenose dolphin","Eastern Gulf of Mexico",3
"Common bottlenose dolphin","Eastern Gulf of Mexico coastal",1
"Common bottlenose dolphin","Estero Bay",5
"Common bottlenose dolphin","Estero Bayj",2
"Common bottlenose dolphin","Florida Bay",16
"Common bottlenose dolphin","Florida Keys (Bahia Honda to Key West)",5
"Common bottlenose dolphin","Florida Keys (Bahia Honda to Key West)j",2
"Common bottlenose dolphin","Galveston Bay, East Bay, Trinity Bay",5
"Common bottlenose dolphin","Galveston Bay/East Bay/Trinity Bayj",2
"Common bottlenose dolphin","Gulf of America, Continental Shelf",1
"Common bottlenose dolphin","Gulf of America, Eastern Coastal",1
"Common bottlenose dolphin","Gulf of America, Northern Coastal",1
"Common bottlenose dolphin","Gulf of America, Oceanic",1
"Common bottlenose dolphin","Gulf of America, Western Coastal",1
"Common bottlenose dolphin","Gulf of Mex. Continental shelf edge and slope",1
"Common bottlenose dolphin","Gulf of Mexico Continental shelf",4
