"region_orig","fishery","n"
"Atlantic","FL west coast sardine purse seine",1
"Atlantic","Finfish aquaculture",27
"Atlantic","Florida east coast, Gulf of Mexico pelagics king and Spanish mackerel gillnet",3
"Atlantic","Florida east coast, Gulf of Mexico pelagics king and Spanish mackerel gillnet.",1
"Atlantic","Florida spiny lobster trap/pot",5
"Atlantic","Florida west coast sardine purse seine",11
"Atlantic","GA cannonball jellyfish trawl",17
"Atlantic","Georgia, South Carolina, Maryland whelk trawl",8
"Atlantic","Gulf of Maine Atlantic herring purse seine",28
"Atlantic","Gulf of Maine herring and Atlantic mackerel stop seine/ weir",11
"Atlantic","Gulf of Maine herring and Atlantic mackerel stop seine/weir",17
"Atlantic","Gulf of Maine mackerel trawl",1
"Atlantic","Gulf of Maine menhaden purse seine",28
"Atlantic","Gulf of Maine mussel",12
"Atlantic","Gulf of Maine mussel dredge",14
"Atlantic","Gulf of Maine northern shrimp trawl",8
"Atlantic","Gulf of Maine sea urchin dredge",10
"Atlantic","Gulf of Maine small pelagics surface gillnet",4
"Atlantic","Gulf of Maine tub trawl groundfish bottom longline/ hook-and- line.",1
"Atlantic","Gulf of Maine tub trawl groundfish bottom longline/ hook-and-line",4
"Atlantic","Gulf of Maine tub trawl groundfish bottom longline/hook-and-line",1
"Atlantic","Gulf of Maine tub trawl groundfish bottom longline/hook-andline",1
"Atlantic","Gulf of Maine tub trawl groundfish bottom longline/hookand-line",1
"Atlantic","Gulf of Maine urchin dive, hand/mechanical collection",25
"Atlantic","Gulf of Maine urchin dive, hand/mechanical collection .",1
"Atlantic","Gulf of Maine, Mid-Atlantic sea scallop trawl",8
"Atlantic","Gulf of Maine, Southeast U.S. Atlantic coastal shad, sturgeon gillnet (includes waters of North Carolina)",2
"Atlantic","Gulf of Maine, Southeast U.S. Atlantic coastal shad, sturgeon gillnet.",2
"Atlantic","Gulf of Maine, Southern North Atlantic, Gulf of Mexico coastal herring trawl",1
"Atlantic","Gulf of Maine, U.S. Mid-Atlantic sea scallop dredge",24
"Atlantic","Gulf of Maine, U.S. Mid-Atlantic tuna, shark swordfish hook- and-line/harpoon.",1
"Atlantic","Gulf of Maine, U.S. Mid-Atlantic tuna, shark swordfish hook-and-line/ harpoon",1
"Atlantic","Gulf of Maine, U.S. Mid-Atlantic tuna, shark swordfish hook-and-line/harpoon",14
"Atlantic","Gulf of Maine, U.S. Mid-Atlantic tuna, shark swordfish hook-andline/harpoon. Southeastern U.S. Atlantic, Gulf of Mexico, and Caribbean snapper-grouper and other reef fish bottom longline/hook-and-line",2
"Atlantic","Gulf of Maine, U.S. Mid-Atlantic tuna, shark swordfish hookand-line/harpoon",1
"Atlantic","Gulf of Maine, U.S. Mid-Atlantic tuna, shark, swordfish hook-and-line/harpoon",4
"Atlantic","Gulf of Maine, U.S. Mid-Atlantic tuna, shark, swordfish hook-and-line/harpoon.",1
"Atlantic","Gulf of Maine, U.S. Mid-Atlantic tuna, shark, swordfish hook-andline/harpoon",1
"Atlantic","Gulf of Maine, U.S. mid-Atlantic inshore lobster trap/pot",1
"Atlantic","Gulf of Maine, U.S. mid-Atlantic lobster trap/pot",3
"Atlantic","Gulf of Maine, U.S. mid-Atlantic mixed species trap/pot",4
"Atlantic","Gulf of Maine, U.S. mid-Atlantic offshore lobster trap/pot",1
"Atlantic","Gulf of Maine, U.S. mid-Atlantic sea scallop dredge",4
"Atlantic","Gulf of Maine, U.S. mid-Atlantic tuna, shark swordfish hook-and-line/harpoon",1
"Atlantic","Gulf of Maine, U.S. mid-Atlantic tuna, shark swordfish hook-andline/harpoon",1
"Atlantic","Gulf of Maine, U.S. mid-Atlantic tuna, shark swordfish hookand-line/harpoon",1
"Atlantic","Gulf of Maine, U.S. mid-Atlantic, coastal herring trawl",1
"Atlantic","Gulf of Mexico blue crab trap/pot",24
"Atlantic","Gulf of Mexico butterfish trawl",28
"Atlantic","Gulf of Mexico coastal gillnet (includes mullet gillnet fishery in LA and MS)",3
"Atlantic","Gulf of Mexico coastal gillnet (includes mullet gillnet fishery in LA and MS).",1
"Atlantic","Gulf of Mexico gillnet",24
"Atlantic","Gulf of Mexico haul/beach seine",24
